station_name,lat,lon,total_rides,subscriber_rides,customer_rides,path_id
"Canal St & Taylor St",41.870257,-87.639474,4253,3260,993,612
"Damen Ave & Augusta Blvd",41.899714,-87.677234,4248,4048,200,613
"Ashland Ave & Division St",41.90345,-87.667747,4248,4048,200,613
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,4246,1947,2299,614
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,4246,1947,2299,614
"Clark St & Armitage Ave",41.918306,-87.636282,4245,3192,1053,615
"Larrabee St & Webster Ave",41.921822,-87.64414,4245,3192,1053,615
"Museum Campus",41.865212,-87.617759,4244,931,3313,616
"Fort Dearborn Dr & 31st St",41.838556,-87.608218,4244,931,3313,616
"Wells St & Evergreen Ave",41.906724,-87.63483,4244,3133,1111,617
"Clark St & Armitage Ave",41.918306,-87.636282,4244,3133,1111,617
"Bissell St & Armitage Ave",41.91844,-87.65222,4239,4020,219,618
"Sheffield Ave & Webster Ave",41.92154,-87.653818,4239,4020,219,618
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,4237,3634,603,619
"Clinton St & Jackson Blvd",41.8783166118,-87.6409810781,4237,3634,603,619
"LaSalle St & Jackson Blvd",41.87817,-87.631985,4237,4096,141,620
"Dearborn St & Monroe St",41.881319815,-87.6295209193,4237,4096,141,620
"Clinton St & Madison St",41.8827519657,-87.6411902905,4237,4011,226,621
"Ada St & Washington Blvd",41.88283,-87.661206,4237,4011,226,621
"Central St Metra",42.063598,-87.69873,4234,3815,419,622
"Central St & Girard Ave",42.064313,-87.686152,4234,3815,419,622
"Clinton St & Washington Blvd",41.88338,-87.64117,4233,3820,413,623
"Michigan Ave & Pearson St",41.89766,-87.62351,4233,3820,413,623
"Sedgwick St & North Ave",41.910983,-87.638525,4232,3828,404,624
"Wells St & Concord Ln",41.912133,-87.634656,4232,3828,404,624
"Wolcott Ave & Polk St",41.871262,-87.673688,4232,4038,194,625
"Loomis St & Taylor St",41.869417,-87.660996,4232,4038,194,625
"Carpenter St & Huron St",41.894556,-87.653449,4225,3961,264,626
"Clinton St & Washington Blvd",41.88338,-87.64117,4225,3961,264,626
"Rockwell St & Eastwood Ave",41.9659001398,-87.6936384935,4221,4130,91,627
"Campbell Ave & Montrose Ave",41.961524,-87.691177,4221,4130,91,627
"Franklin St & Chicago Ave",41.89679,-87.63564,4214,3742,472,628
"Wells St & Elm St",41.903222,-87.634324,4214,3742,472,628
"California Ave & Francis Pl",41.91855,-87.69723,4212,4022,190,629
"California Ave & Milwaukee Ave",41.922695,-87.697153,4212,4022,190,629
"Field Museum",41.865312,-87.617867,4212,715,3497,630
"Adler Planetarium",41.866095,-87.607267,4212,715,3497,630
"Carpenter St & Huron St",41.894556,-87.653449,4206,3654,552,631
"Desplaines St & Kinzie St",41.888716036,-87.6444478533,4206,3654,552,631
"Southport Ave & Roscoe St",41.943739,-87.66402,4205,3720,485,632
