station_a,lat_a,lon_a,station_b,lat_b,lon_b,ride_count,subscriber_count,customer_count
"Southport Ave & Roscoe St",41.943739,-87.66402,"Southport Ave & Irving Park Rd",41.954177,-87.664358,10012,9069,943
"Damen Ave & Foster Ave",41.9758109756,-87.6795098986,"Damen Ave & Leland Ave",41.967094,-87.679028,9925,8976,949
"Canal St & Adams St",41.879255,-87.639904,"Dearborn St & Erie St",41.893992,-87.629318,9887,9413,474
"Museum Campus",41.865212,-87.617759,"Streeter Dr & Illinois St",41.891071,-87.6122,9833,888,8945
"Streeter Dr & Grand Ave",41.892278,-87.612043,"Columbus Dr & Randolph St",41.884728,-87.619521,9829,2197,7632
"Lake Shore Dr & North Blvd",41.911722,-87.626804,"Lake Shore Dr & Ohio St",41.89257,-87.614492,9824,3364,6460
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Millennium Park",41.8810317,-87.62408432,9799,1525,8274
"Montrose Harbor",41.963982,-87.638181,"Lakefront Trail & Bryn Mawr Ave",41.9840441152,-87.6522812247,9778,5146,4632
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Clark St & Wrightwood Ave",41.929546,-87.643118,9740,8843,897
"Clinton St & Madison St",41.8827519657,-87.6411902905,"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,9667,9270,397
"Ashland Ave & Division St",41.90345,-87.667747,"Damen Ave & Division St",41.90331,-87.67695,9656,9061,595
"Indiana Ave & 31st St",41.838842,-87.621857,"MLK Jr Dr & 29th St",41.842052,-87.617,9642,9408,234
"Morgan St & Polk St",41.871737,-87.65103,"Loomis St & Taylor St",41.869417,-87.660996,9461,9109,352
"Ellis Ave & 55th St",41.7943006205,-87.6014497734,"Ellis Ave & 58th St",41.788746,-87.601334,9222,8410,812
"Ellis Ave & 53rd St",41.7993362626,-87.6009581145,"Ellis Ave & 55th St",41.7943006205,-87.6014497734,9213,8337,876
"Lake Shore Dr & Wellington Ave",41.936669,-87.636794,"Lake Shore Dr & North Blvd",41.911722,-87.626804,9194,4511,4683
"Michigan Ave & Madison St",41.882134,-87.625125,"Canal St & Madison St",41.882091,-87.639833,9166,8285,881
"Theater on the Lake",41.926277,-87.630834,"Lake Shore Dr & Ohio St",41.89257,-87.614492,9137,3608,5529
"Dearborn St & Monroe St",41.881319815,-87.6295209193,"Clinton St & Madison St",41.8827519657,-87.6411902905,9121,8624,497
"Millennium Park",41.8810317,-87.62408432,"Museum Campus",41.865212,-87.617759,9093,817,8276
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,"Clarendon Ave & Junior Ter",41.961004,-87.649603,9054,8493,561
"Sedgwick St & North Ave",41.910983,-87.638525,"Clark St & Armitage Ave",41.918306,-87.636282,9021,7988,1033
"Fort Dearborn Dr & 31st St",41.838556,-87.608218,"Lake Shore Dr & Monroe St",41.880958,-87.616743,9020,3097,5923
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Lakeview Ave & Fullerton Pkwy",41.925858,-87.638973,9017,4597,4420
"State St & 33rd St",41.834734,-87.625813,"Rhodes Ave & 32nd St",41.836208,-87.613533,9002,8665,337
"Loomis St & Lexington St",41.872187,-87.661501,"Wolcott Ave & Polk St",41.871262,-87.673688,8977,8833,144
"State St & Van Buren St",41.877181,-87.627844,"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,8974,7837,1137
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Halsted St & Wrightwood Ave",41.929143,-87.649077,8925,8363,562
"Lake Shore Dr & Monroe St",41.880958,-87.616743,"McClurg Ct & Illinois St",41.89102,-87.6173,8850,1732,7118
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Clark St & Armitage Ave",41.918306,-87.636282,8831,3727,5104
"Morgan St & Lake St",41.8854833079,-87.6523048564,"Clinton St & Washington Blvd",41.88338,-87.64117,8825,8586,239
"Clark St & Armitage Ave",41.918306,-87.636282,"Lake Shore Dr & North Blvd",41.911722,-87.626804,8820,3494,5326
"Lake Shore Dr & Wellington Ave",41.936669,-87.636794,"Theater on the Lake",41.926277,-87.630834,8808,4713,4095
"Clark St & Schiller St",41.907993,-87.631501,"Clark St & Elm St",41.903233,-87.631253,8781,7834,947
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Sheffield Ave & Wrightwood Ave",41.928712,-87.653833,8772,8163,609
"LaSalle St & Jackson Blvd",41.87817,-87.631985,"Clinton St & Washington Blvd",41.88338,-87.64117,8757,8665,92
"Morgan St & Polk St",41.871737,-87.65103,"May St & Taylor St",41.8694821,-87.6554864,8755,8387,368
"Wabash Ave & Grand Ave",41.891466,-87.626761,"Streeter Dr & Grand Ave",41.892278,-87.612043,8736,2377,6359
"Theater on the Lake",41.926277,-87.630834,"Lakeview Ave & Fullerton Pkwy",41.925858,-87.638973,8709,4589,4120
"Wells St & Concord Ln",41.912133,-87.634656,"Clark St & Elm St",41.903233,-87.631253,8687,7331,1356
"Canal St & Adams St",41.879255,-87.639904,"St. Clair St & Erie St",41.8943451374,-87.6227983832,8609,8156,453
"Field Museum",41.865312,-87.617867,"Streeter Dr & Grand Ave",41.892278,-87.612043,8609,710,7899
"Sheffield Ave & Fullerton Ave",41.9256018819,-87.6537080423,"Southport Ave & Wrightwood Ave",41.92888,-87.66317,8577,8083,494
"Damen Ave & Division St",41.90331,-87.67695,"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,8570,7642,928
"Canal St & Adams St",41.879255,-87.639904,"Clinton St & Lake St",41.885637,-87.641823,8533,7939,594
"Millennium Park",41.8810317,-87.62408432,"Michigan Ave & Jackson Blvd",41.87785,-87.62408,8520,1480,7040
"Wells St & Concord Ln",41.912133,-87.634656,"Wells St & Elm St",41.903222,-87.634324,8500,7125,1375
"Clinton St & Madison St",41.8827519657,-87.6411902905,"Green St & Madison St",41.881859328,-87.6492637396,8473,8095,378
"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,"Michigan Ave & 14th St",41.864059,-87.623727,8386,7628,758
"Pine Grove Ave & Irving Park Rd",41.954383,-87.648043,"Theater on the Lake",41.926277,-87.630834,8369,3969,4400
"Clark St & Elm St",41.903233,-87.631253,"Dearborn St & Erie St",41.893992,-87.629318,8348,7267,1081
"Michigan Ave & Oak St",41.90096039,-87.62377664,"Clark St & Lincoln Ave",41.915689,-87.6346,8331,3459,4872
"Wilton Ave & Belmont Ave",41.94018,-87.65304,"Broadway & Barry Ave",41.937725,-87.644095,8321,7840,481
"Clinton St & Washington Blvd",41.88338,-87.64117,"Desplaines St & Kinzie St",41.888716036,-87.6444478533,8191,7686,505
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,"Southport Ave & Irving Park Rd",41.954177,-87.664358,8185,7464,721
"Clark St & Armitage Ave",41.918306,-87.636282,"Streeter Dr & Grand Ave",41.892278,-87.612043,8167,1467,6700
"Wolcott Ave & Polk St",41.871262,-87.673688,"Morgan St & Polk St",41.871737,-87.65103,8161,7567,594
"Kimbark Ave & 53rd St",41.799568,-87.594747,"Ellis Ave & 58th St",41.788746,-87.601334,8154,7070,1084
"Clinton St & Washington Blvd",41.88338,-87.64117,"Dearborn St & Erie St",41.893992,-87.629318,8132,7668,464
"State St & Randolph St",41.8847302006,-87.6277335692,"Clinton St & Washington Blvd",41.88338,-87.64117,8130,7721,409
"Shedd Aquarium",41.8672259568,-87.6153553902,"Michigan Ave & Jackson Blvd",41.87785,-87.62408,8105,973,7132
"DuSable Lake Shore Dr & Monroe St",41.880958,-87.616743,"Shedd Aquarium",41.8672259568,-87.6153553902,8103,859,7244
"Wells St & Huron St",41.8947953,-87.6343743,"Wells St & Elm St",41.903222,-87.634324,8086,6109,1977
"McClurg Ct & Illinois St",41.89102,-87.6173,"Streeter Dr & Grand Ave",41.892278,-87.612043,8076,1798,6278
"Millennium Park",41.8810317,-87.62408432,"Columbus Dr & Randolph St",41.884728,-87.619521,8062,4399,3663
"Ashland Ave & Grace St",41.950687,-87.6687,"Southport Ave & Roscoe St",41.943739,-87.66402,7973,7504,469
"Kosciuszko Park",41.9305853714,-87.7237773635,"Kedzie Ave & Milwaukee Ave",41.929567,-87.707857,7970,6874,1096
"Sedgwick St & Webster Ave",41.922167,-87.638888,"Sedgwick St & North Ave",41.910983,-87.638525,7957,6710,1247
"Clinton St & Washington Blvd",41.88338,-87.64117,"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,7940,7634,306
"Lake Shore Dr & Wellington Ave",41.936669,-87.636794,"Michigan Ave & Oak St",41.90096039,-87.62377664,7935,4161,3774
"Canal St & Adams St",41.879255,-87.639904,"Dearborn St & Monroe St",41.881319815,-87.6295209193,7926,7074,852
"Sedgwick St & Huron St",41.894666,-87.638437,"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,7887,7360,527
"University Ave & 57th St",41.791478,-87.599861,"Ellis Ave & 55th St",41.7943006205,-87.6014497734,7882,7132,750
"DuSable Lake Shore Dr & North Blvd",41.911722,-87.626804,"Streeter Dr & Grand Ave",41.892278,-87.612043,7882,1588,6294
